url,initial_status,redirect_location,final_url,final_status,canonical,robots,title,h1,link_count,html_chars,error
https://dreamlab.id/,200,,https://dreamlab.id/,200,https://dreamlab.id/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab | Maklon Kosmetik &amp; Parfum BPOM Terbaik - Wujudkan Brand Impian Anda,Jasa Maklon Skincare &amp; Kosmetik Terpercaya Indonesia,58,264090,
https://dreamlab.id/skincare-face-care/,200,,https://dreamlab.id/skincare-face-care/,200,https://dreamlab.id/skincare-face-care/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab,,41,58024,
https://dreamlab.id/parfum/,200,,https://dreamlab.id/parfum/,200,https://dreamlab.id/parfum/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab,,41,57528,
https://dreamlab.id/body-care/,200,,https://dreamlab.id/body-care/,200,https://dreamlab.id/body-care/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab,,41,57479,
https://dreamlab.id/hair-care/,200,,https://dreamlab.id/hair-care/,200,https://dreamlab.id/hair-care/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab,,41,57476,
https://dreamlab.id/baby-care/,200,,https://dreamlab.id/baby-care/,200,https://dreamlab.id/baby-care/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab,,41,57477,
https://dreamlab.id/services/,200,,https://dreamlab.id/services/,200,https://dreamlab.id/services/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",DREAMLAB | Layanan Pabrik Kosmetik Private Label Terlengkap,Solusi One-Stop Maklon Services,44,135858,
https://dreamlab.id/news-blog/,200,,https://dreamlab.id/news-blog/,200,https://dreamlab.id/news-blog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab Bisnis Kosmetik &amp; Skincare | Dreamlab,Temukan Wawasan Bisnis Kosmetik di Blog Kami,83,130153,
https://dreamlab.id/category/maklon-skincare/,308,/category/maklon-kosmetik/,https://dreamlab.id/category/maklon-kosmetik/,200,https://dreamlab.id/category/maklon-kosmetik/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Maklon Kosmetik Archives | Dreamlab Indonesia,Maklon Kosmetik,307,451690,
https://dreamlab.id/category/event/,404,,https://dreamlab.id/category/event/,404,,noindex,404 - Page Not Found | Dreamlab Maklon Kosmetik,,0,31926,
https://dreamlab.id/maklon-parfum/,308,/google-ads/maklon-parfum/,https://dreamlab.id/google-ads/maklon-parfum/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab | Maklon Kosmetik &amp; Parfum BPOM Terbaik Indonesia,Mau Buat Parfum Custom?,51,178712,
https://dreamlab.id/pabrik-parfum-surabaya/,308,/produk/parfum/,https://dreamlab.id/produk/parfum/,200,https://dreamlab.id/produk/parfum/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Maklon Parfum Custom &amp; Private Label,Jasa Maklon Parfum Premium BPOM &amp; Halal,50,177691,
https://dreamlab.id/tips-sukses-bisnis-parfum/,308,/bisnis-parfum-merk-sendiri/,https://dreamlab.id/bisnis-parfum-merk-sendiri/,200,https://dreamlab.id/bisnis-parfum-merk-sendiri/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Strategy Bisnis Parfum Sendiri | Modal Untuk Pemula,2 Cara Bisnis Parfum Merk Sendiri Strategi dan Cara Suksesnya,70,228035,
https://dreamlab.id/bahan-aktif-untuk-mengatasi-jerawat/,308,/bahan-aktif-skincare-jerawat/,https://dreamlab.id/bahan-aktif-skincare-jerawat/,200,https://dreamlab.id/bahan-aktif-skincare-jerawat/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Bahan Aktif Skincare yang Ampuh untuk Jerawat,5 Ingredient Aktif Terbaik untuk Wajah Berjerawat dari Dreamlab,65,233002,
https://dreamlab.id/cara-bisnis-skincare-dari-nol/,308,/bisnis-kosmetik-dari-nol/,https://dreamlab.id/bisnis-kosmetik-dari-nol/,200,https://dreamlab.id/bisnis-kosmetik-dari-nol/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Panduan Lengkap Bisnis Kosmetik,Bisnis Kosmetik dari Nol,63,228069,
https://dreamlab.id/about-us/alur-maklon/,200,,https://dreamlab.id/about-us/alur-maklon/,200,https://dreamlab.id/about-us/alur-maklon/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Alur Maklon | Dreamlab Indonesia,One Stop Maklon Kosmetik Terpercaya,42,118885,
https://dreamlab.id/academy-beautypreneur/,308,/category/dreampreneur-beauty-academy/,https://dreamlab.id/category/dreampreneur-beauty-academy/,200,https://dreamlab.id/category/dreampreneur-beauty-academy/,"noindex, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreampreneur Beauty Academy Archives - Dreamlab,Dreampreneur Beauty Academy,46,64064,
