date,clicks,impressions,ctr,position
2026-04-21,39,1577,0.024730500951173115,7.7755231452124285
2026-04-22,37,1514,0.02443857331571995,8.625495376486128
2026-04-23,41,1449,0.028295376121463076,7.369910282953761
2026-04-24,40,1279,0.03127443315089914,8.913213448006255
2026-04-25,39,1234,0.031604538087520256,7.694489465153971
2026-04-26,37,1416,0.026129943502824857,8.064971751412429
2026-04-27,38,1250,0.0304,8.0912
2026-04-28,36,1291,0.027885360185902403,7.359411309062742
2026-04-29,32,1435,0.02229965156794425,8.74425087108014
2026-04-30,28,1121,0.024977698483496878,8.405887600356824
2026-05-01,33,1219,0.027071369975389663,7.782608695652174
2026-05-02,25,1067,0.023430178069353328,7.688847235238987
2026-05-03,28,1420,0.01971830985915493,8.154225352112675
2026-05-04,31,1467,0.021131561008861623,8.01840490797546
2026-05-05,40,1402,0.028530670470756064,7.360199714693295
2026-05-06,31,1479,0.020960108181203516,8.446247464503042
2026-05-07,25,1414,0.01768033946251768,8.152758132956153
2026-05-08,21,1131,0.01856763925729443,8.23872679045093
2026-05-09,18,1161,0.015503875968992248,8.799310938845823
2026-05-10,27,1320,0.020454545454545454,8.18939393939394
2026-05-11,26,1395,0.01863799283154122,7.959856630824373
2026-05-12,26,1370,0.01897810218978102,7.6
2026-05-13,33,1193,0.027661357921207042,7.890192791282481
2026-05-14,36,1299,0.02771362586605081,7.800615858352579
2026-05-15,38,1255,0.030278884462151396,9.129083665338646
2026-05-16,30,1232,0.024350649350649352,8.324675324675326
2026-05-17,37,1375,0.02690909090909091,7.408
2026-05-18,33,1442,0.02288488210818308,8.570735090152567
2026-05-19,38,1352,0.028106508875739646,7.462278106508876
2026-05-20,32,1339,0.02389843166542196,7.9454817027632565
2026-05-21,33,1252,0.026357827476038338,8.093450479233226
2026-05-22,36,1213,0.02967848309975268,9.186314921681781
2026-05-23,28,1210,0.023140495867768594,8.281818181818181
2026-05-24,45,1567,0.02871729419272495,7.60178685386088
2026-05-25,50,1720,0.029069767441860465,8.766279069767442
2026-05-26,30,1316,0.022796352583586626,7.843465045592705
2026-05-27,41,1542,0.026588845654993514,7.7619974059662775
2026-05-28,43,1801,0.02387562465297057,7.828428650749584
2026-05-29,34,1865,0.018230563002680965,10.449329758713137
2026-05-30,30,1551,0.019342359767891684,7.9264990328820115
2026-05-31,24,1629,0.014732965009208104,7.728667894413751
2026-06-01,47,1814,0.025909592061742006,8.897464167585447
2026-06-02,48,1818,0.026402640264026403,7.309130913091309
2026-06-03,60,1796,0.0334075723830735,7.555679287305122
2026-06-04,41,1771,0.023150762281197064,7.987012987012987
2026-06-05,19,1625,0.011692307692307693,8.527384615384616
2026-06-06,22,1589,0.013845185651353053,8.310258023914411
2026-06-07,30,1682,0.0178359096313912,8.16527942925089
2026-06-08,29,1588,0.018261964735516372,8.844458438287154
2026-06-09,52,1690,0.03076923076923077,8.518934911242603
2026-06-10,29,1641,0.017672151127361365,7.383302864107252
2026-06-11,35,1668,0.020983213429256596,8.223621103117505
2026-06-12,36,1831,0.019661387220098307,11.007646095030038
2026-06-13,27,1658,0.016284680337756333,10.674306393244873
2026-06-14,32,1731,0.01848642403235124,8.056614673599075
2026-06-15,48,1676,0.028639618138424822,9.060262529832935
2026-06-16,27,1688,0.015995260663507108,7.587677725118484
2026-06-17,38,1715,0.022157434402332362,8.7533527696793
2026-06-18,32,1645,0.019452887537993922,9.174468085106383
2026-06-19,25,1337,0.018698578908002993,9.498130142109199
2026-06-20,11,922,0.01193058568329718,8.809110629067245
2026-06-21,22,961,0.022892819979188347,9.074921956295526
2026-06-22,29,924,0.031385281385281384,10.996753246753247
2026-06-23,31,971,0.03192584963954686,8.49124613800206
2026-06-24,25,1011,0.024727992087042534,9.041543026706231
2026-06-25,32,992,0.03225806451612903,9.452620967741936
2026-06-26,23,1384,0.016618497109826588,18.30057803468208
2026-06-27,26,1056,0.02462121212121212,9.342803030303031
2026-06-28,17,1496,0.011363636363636364,7.80548128342246
2026-06-29,51,1632,0.03125,9.196078431372548
2026-06-30,35,1485,0.02356902356902357,8.291582491582492
2026-07-01,30,1612,0.018610421836228287,8.965260545905707
2026-07-02,22,1361,0.016164584864070537,8.16678912564291
2026-07-03,20,1221,0.01638001638001638,9.92137592137592
2026-07-04,16,1057,0.015137180700094607,8.362346263008515
2026-07-05,31,1216,0.02549342105263158,8.774671052631579
2026-07-06,21,1358,0.015463917525773196,11.262150220913108
2026-07-07,13,1335,0.009737827715355805,8.470411985018726
2026-07-08,22,1434,0.015341701534170154,8.517433751743376
2026-07-09,26,1228,0.021172638436482084,8.490228013029316
2026-07-10,20,1238,0.01615508885298869,10.267366720516963
2026-07-11,16,1052,0.015209125475285171,9.392585551330798
2026-07-12,26,1364,0.01906158357771261,8.634897360703812
2026-07-13,29,1485,0.019528619528619527,10.180471380471381
2026-07-14,36,1491,0.02414486921529175,8.16968477531858
2026-07-15,16,1405,0.011387900355871887,8.404982206405695
2026-07-16,19,1374,0.013828238719068414,8.328238719068413
2026-07-17,37,1497,0.024716098864395457,8.981295925183701
2026-07-18,34,1318,0.025796661608497723,8.155538694992412
