query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apa fungsi panthenol untuk wajah,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,6,stable,informational,False
apa hb dosting,0,0,0,,2,2,0,0.0,0.0,,3.0,1.0,2.0,0,0,0,4,stable,informational,False
apa hb dosting aman,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apa itu affiliate skincare,0,0,0,,3,27,-24,0.0,0.0,,10.3,1.0,9.3,0,0,0,107,stable,informational,False
apa itu affiliator skincare,0,0,0,,0,9,-9,0.0,0.0,,,1.0,,0,0,0,9,stable,informational,False
apa itu alcohol denat,0,0,0,,1,0,1,0.0,0.0,,52.0,,,0,0,0,1,stable,informational,False
apa itu alkohol denat,0,0,0,,1,1,0,0.0,0.0,,13.0,1.0,12.0,0,0,0,2,stable,informational,False
apa itu asas satin,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apa itu astaxanthin,0,0,0,,3,2,1,0.0,0.0,,2.0,88.0,-86.0,0,0,0,7,stable,informational,False
apa itu astaxanthin dan manfaatnya,0,0,0,,2,0,2,0.0,0.0,,3.0,,,0,0,0,2,stable,informational,False
apa itu astaxanthin untuk kulit,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apa itu balm,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,informational,False
apa itu blaem blaem,0,0,0,,2,0,2,0.0,0.0,,1.0,,,0,0,0,2,stable,informational,False
apa itu cream,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apa itu cysteamine,0,0,0,,2,0,2,0.0,0.0,,6.5,,,0,0,0,2,stable,informational,False
apa itu cysteamine untuk wajah,0,0,0,,2,0,2,0.0,0.0,,11.0,,,0,0,0,2,stable,informational,False
apa itu dosting,0,0,0,,7,14,-7,0.0,0.0,,8.4,1.7,6.7,0,0,0,21,stable,informational,False
apa itu edp,0,0,0,,103,0,103,0.0,0.0,,11.7,,,0,0,0,157,stable,informational,False
apa itu edp dan edt,0,0,0,,9,0,9,0.0,0.0,,11.0,,,0,0,0,12,stable,informational,False
apa itu edp parfum,0,0,0,,8,0,8,0.0,0.0,,11.2,,,0,0,0,11,stable,informational,False
apa itu edt,0,0,0,,45,0,45,0.0,0.0,,12.2,,,0,0,0,76,stable,informational,False
apa itu edt dan edp,0,0,0,,4,0,4,0.0,0.0,,12.5,,,0,0,0,11,stable,informational,False
apa itu edt parfum,0,0,0,,2,0,2,0.0,0.0,,28.5,,,0,0,0,2,stable,informational,False
apa itu etanol dalam parfum,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apa itu glycerin,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,informational,False
apa itu glycerin dalam skincare,0,0,0,,0,2,-2,0.0,0.0,,,12.0,,0,0,0,3,stable,informational,False
apa itu hair ampoule,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
apa itu hb bodycare,0,0,0,,33,2,31,0.0,0.0,,8.6,2.0,6.6,0,0,0,35,stable,informational,False
apa itu hb dalam skincare,0,0,0,,2,0,2,0.0,0.0,,8.0,,,0,0,0,2,stable,informational,False
apa itu hb dosting,1,1,0,0.0,44,159,-115,2.27,0.63,1.64,4.7,1.2,3.5,1,0,2,203,growing,informational,False
apa itu hb pemutih,0,0,0,,1,1,0,0.0,0.0,,2.0,3.0,-1.0,0,0,0,2,stable,informational,False
apa itu hb pemutih badan,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
apa itu hb skincare,0,0,0,,12,0,12,0.0,0.0,,10.4,,,0,0,0,12,stable,informational,False
apa itu ingrown hair,0,0,0,,2,0,2,0.0,0.0,,27.0,,,0,0,0,2,stable,informational,False
