url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/category/maklon-parfum/,/category/maklon-parfum/,10,2,8,400.0,1.56,1.26,0.3,15.6,15.6,0.0,1,8,34,329,159,12,587,8,3.1,52.8,commercial,category,True,False,True,False,False
https://dreamlab.id/biaya-maklon-parfum-moq-kecil/,/biaya-maklon-parfum-moq-kecil/,13,6,7,116.7,0.84,0.81,0.03,11.4,8.5,3.0,7,4,336,785,744,20,1598,7,13.0,57.1,commercial,article,True,True,False,False,True
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/,/perbedaan-moisturizer-gel-vs-cream/,9,2,7,350.0,0.18,0.11,0.07,7.6,8.0,-0.4,3,0,1853,4911,1755,14,8249,7,236.5,50.3,informational,article,False,True,False,False,True
https://dreamlab.id/produk/bodycare/deodorant-dry-serum/,/produk/bodycare/deodorant-dry-serum/,7,0,7,100,29.17,0.0,29.17,8.9,,,7,0,24,24,0,7,24,7,0.0,40.2,commercial,product,True,False,False,False,False
https://dreamlab.id/about-us/,/about-us/,9,3,6,200.0,0.96,0.54,0.42,16.1,8.1,8.0,3,4,186,667,560,15,1474,6,10.3,36.3,company,company_or_service,False,False,False,True,False
https://dreamlab.id/tren-aroma-parfum-2026-terbaru/,/tren-aroma-parfum-2026-terbaru/,13,7,6,85.7,2.44,0.71,1.73,8.7,4.9,3.8,4,4,126,868,983,31,2535,6,22.2,37.8,informational,article,False,True,False,False,True
https://dreamlab.id/maklon-hair-treatment-salon-premium/,/maklon-hair-treatment-salon-premium/,11,5,6,120.0,13.67,3.31,10.35,8.0,17.9,-9.9,3,5,38,201,151,19,454,6,0.0,50.3,commercial,service,True,False,False,False,False
https://dreamlab.id/berapa-moq-maklon-skincare-di-dreamlab-ini-fakta-penting-untuk-pebisnis-pemula/,/berapa-moq-maklon-skincare-di-dreamlab-ini-fakta-penting-untuk-pebisnis-pemula/,7,1,6,600.0,2.25,0.66,1.59,9.8,11.7,-2.0,1,4,39,311,152,15,1124,6,8.6,32.6,brand,article,False,True,False,False,True
https://dreamlab.id/services/,/services/,15,9,6,66.7,0.74,1.43,-0.69,7.8,7.6,0.1,3,10,334,1049,628,30,5846,6,44.7,59.1,commercial,article,True,True,False,False,True
https://dreamlab.id/jasa-maklon-kosmetik/,/jasa-maklon-kosmetik/,5,0,5,100,1.35,0.0,1.35,10.2,,,5,0,194,194,0,5,194,5,2.2,50.2,commercial,service_landing,True,False,False,True,False
