url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/parfum-inspired-peluang-bisnis/#2_Gourmand_Inspired,/parfum-inspired-peluang-bisnis/#2_Gourmand_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,78,588,263,0,852,0,29.4,56.1,commercial,article,True,True,False,False,True
https://dreamlab.id/jasa-maklon-kosmetik-bandung/,/jasa-maklon-kosmetik-bandung/,12,9,3,33.3,7.08,1.24,5.84,15.3,11.9,3.4,4,6,237,670,723,22,1476,3,0.0,56.1,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/parfum-pheromone-bisnis-parfum/,/parfum-pheromone-bisnis-parfum/,5,0,5,100,0.45,0.0,0.45,6.8,,,1,3,419,585,0,5,585,5,26.6,56.0,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#Mengapa_Parfum_Inspired_Menjadi_Tren,/parfum-inspired-peluang-bisnis/#Mengapa_Parfum_Inspired_Menjadi_Tren/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,78,584,259,0,844,0,29.2,56.0,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-menentukan-harga-jual-produk-kosmetik/,/cara-menentukan-harga-jual-produk-kosmetik/,3,9,-6,-66.7,2.35,0.94,1.41,8.1,6.8,1.3,1,2,118,591,959,19,2448,-6,15.7,55.8,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-skincare-surabaya-umkm/,/maklon-skincare-surabaya-umkm/,0,4,-4,-100.0,1.48,1.52,-0.03,12.7,11.7,1.0,0,0,0,0,264,9,607,-4,6.2,55.7,commercial,service,True,False,False,False,False
https://dreamlab.id/parfum-inspired-peluang-bisnis/#4_Fresh_Aquatic_Inspired,/parfum-inspired-peluang-bisnis/#4_Fresh_Aquatic_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#3_Woody_Spicy_Inspired,/parfum-inspired-peluang-bisnis/#3_Woody_Spicy_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#1_Floral_Inspired,/parfum-inspired-peluang-bisnis/#1_Floral_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-parfum-jakarta/,/maklon-parfum-jakarta/,0,22,-22,-100.0,3.72,3.72,0.0,8.7,8.7,0.0,0,0,0,0,592,22,592,-22,7.6,55.6,commercial,service,True,False,False,False,False
https://dreamlab.id/produk/parfum/,/produk/parfum/,11,0,11,100,1.77,0.0,1.77,26.4,,,9,2,503,587,0,11,587,11,0.0,55.5,commercial,product,True,False,False,False,False
https://dreamlab.id/cara-buat-parfum-sendiri-dengan-maklon/,/cara-buat-parfum-sendiri-dengan-maklon/,1,1,0,0.0,0.1,1.96,-1.86,9.4,8.3,1.0,0,0,225,524,51,2,575,0,25.7,55.4,commercial,article,True,True,False,False,True
https://dreamlab.id/tips-sukses-bisnis-parfum/,/tips-sukses-bisnis-parfum/,0,0,0,,0.39,0.0,0.39,8.9,10.7,-1.8,0,0,0,0,82,2,516,0,23.8,55.3,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-membuat-masker-wajah-organik-praktis-aman-dan-cocok-untuk-ide-bisnis-skincare/,/cara-membuat-masker-wajah-organik-praktis-aman-dan-cocok-untuk-ide-bisnis-skincare/,0,0,0,,0.38,0.0,0.38,19.4,,,0,0,0,0,0,2,531,0,11.3,55.2,commercial,article,True,True,False,False,True
https://dreamlab.id/jasa-maklon-lipstik-bpom-terpercaya/,/jasa-maklon-lipstik-bpom-terpercaya/,13,1,12,1200.0,2.65,0.69,1.96,16.0,7.2,8.8,4,4,181,561,144,14,705,12,0.0,55.2,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/baby-care/,/baby-care/,12,8,4,50.0,2.18,1.1,1.08,19.7,26.2,-6.5,4,5,48,551,728,26,4725,4,1.8,55.2,commercial,company_or_service,True,False,False,True,False
https://dreamlab.id/pabrik-maklon-kosmetik-sidoarjo-dreamlab/,/pabrik-maklon-kosmetik-sidoarjo-dreamlab/,10,9,1,11.1,1.07,1.13,-0.05,10.7,9.2,1.5,3,7,202,478,799,19,1398,1,6.8,54.6,brand,service_landing,True,False,False,True,False
https://dreamlab.id/inovasi-produk-yang-lebih-cepat-dengan-jasa-maklon-kosmetik-6-manfaat-yang-perlu-anda-tahu/,/inovasi-produk-yang-lebih-cepat-dengan-jasa-maklon-kosmetik-6-manfaat-yang-perlu-anda-tahu/,0,0,0,,0.0,0.0,0.0,39.8,,,0,0,0,0,0,0,446,0,5.4,54.2,commercial,article,True,True,False,False,True
https://dreamlab.id/blog/,/blog/,0,0,0,,0.25,0.0,0.25,9.6,,,0,0,0,0,0,1,408,0,19.4,54.1,commercial,blog,True,True,False,False,False
