url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/#Mengapa_PT_Karya_Impian_Laboratoris_DREAMLAB_Menjadi_Pilihan_Utama,/urutan-pabrik-skincare-terbaik-indonesia/#Mengapa_PT_Karya_Impian_Laboratoris_DREAMLAB_Menjadi_Pilihan_Utama/,0,0,0,,0.0,0.0,0.0,7.9,9.4,-1.5,0,0,107,737,559,0,1304,0,36.8,37.3,brand,article,False,True,False,False,True
https://dreamlab.id/pabrik-parfum-malang-dreamlab/,/pabrik-parfum-malang-dreamlab/,17,18,-1,-5.6,1.1,3.64,-2.53,8.5,8.6,-0.1,5,5,198,811,495,35,1306,-1,31.6,57.6,brand,service_landing,True,False,False,True,False
https://dreamlab.id/parfum-inspired-peluang-bisnis/#2_Gourmand_Inspired,/parfum-inspired-peluang-bisnis/#2_Gourmand_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,78,588,263,0,852,0,29.4,56.1,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#5_Jenis_Parfum_Inspired_yang_Sedang_Tren,/parfum-inspired-peluang-bisnis/#5_Jenis_Parfum_Inspired_yang_Sedang_Tren/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,78,588,263,0,852,0,29.4,56.1,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#Mengapa_Parfum_Inspired_Menjadi_Tren,/parfum-inspired-peluang-bisnis/#Mengapa_Parfum_Inspired_Menjadi_Tren/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,78,584,259,0,844,0,29.2,56.0,commercial,article,True,True,False,False,True
https://dreamlab.id/ide-bisnis-kosmetik-2026/,/ide-bisnis-kosmetik-2026/,5,3,2,66.7,0.75,0.29,0.46,7.7,6.4,1.3,2,1,191,663,1018,14,2878,2,28.2,56.6,commercial,article,True,True,False,False,True
https://dreamlab.id/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,29,0,29,100,2.69,0.0,2.69,6.2,,,15,14,695,1196,0,29,1196,29,27.6,39.4,informational,article,False,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#1_Floral_Inspired,/parfum-inspired-peluang-bisnis/#1_Floral_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#3_Woody_Spicy_Inspired,/parfum-inspired-peluang-bisnis/#3_Woody_Spicy_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/#4_Fresh_Aquatic_Inspired,/parfum-inspired-peluang-bisnis/#4_Fresh_Aquatic_Inspired/,0,0,0,,0.0,0.0,0.0,7.7,7.3,0.4,0,0,68,541,239,0,781,0,27.0,55.6,commercial,article,True,True,False,False,True
