query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
industri kosmetik indonesia,0,0,0,,1,1,0,0.0,0.0,,20.0,26.0,-6.0,0,0,0,7,stable,local,False
industri skincare di indonesia,0,0,0,,1,3,-2,0.0,0.0,,11.0,13.3,-2.3,0,0,0,7,stable,local,False
jasa maklon acne spot cream,0,0,0,,9,0,9,0.0,0.0,,14.9,,,0,0,0,9,stable,commercial,False
jasa maklon bedak tabur,0,0,0,,1,0,1,0.0,0.0,,14.0,,,0,0,0,1,stable,commercial,False
jasa maklon body butter,0,0,0,,9,0,9,0.0,0.0,,12.7,,,0,0,0,9,stable,commercial,False
jasa maklon body lotion,0,0,0,,6,0,6,0.0,0.0,,14.3,,,0,0,0,6,stable,commercial,False
jasa maklon body scrub,0,0,0,,13,0,13,0.0,0.0,,16.7,,,0,0,0,13,stable,commercial,False
jasa maklon body serum,0,0,0,,9,0,9,0.0,0.0,,15.8,,,0,0,0,9,stable,commercial,False
jasa maklon body tonner,0,0,0,,11,0,11,0.0,0.0,,14.9,,,0,0,0,11,stable,commercial,False
jasa maklon bodycare bpom,0,0,0,,15,0,15,0.0,0.0,,14.9,,,0,0,0,15,stable,commercial,False
jasa maklon cleansing balm,0,0,0,,9,0,9,0.0,0.0,,13.8,,,0,0,0,9,stable,commercial,False
jasa maklon cleansing lotion,0,0,0,,11,0,11,0.0,0.0,,17.2,,,0,0,0,11,stable,commercial,False
jasa maklon cleansing milk,0,0,0,,12,0,12,0.0,0.0,,14.8,,,0,0,0,12,stable,commercial,False
jasa maklon deodorant,0,0,0,,7,0,7,0.0,0.0,,12.4,,,0,0,0,7,stable,commercial,False
jasa maklon dry shampoo,0,0,0,,15,0,15,0.0,0.0,,15.3,,,0,0,0,15,stable,commercial,False
jasa maklon eye brow serum,0,0,0,,11,0,11,0.0,0.0,,18.8,,,0,0,0,11,stable,commercial,False
jasa maklon eye cream,0,0,0,,7,0,7,0.0,0.0,,14.6,,,0,0,0,7,stable,commercial,False
jasa maklon face bronzer,0,0,0,,4,0,4,0.0,0.0,,17.2,,,0,0,0,4,stable,commercial,False
jasa maklon face contour,0,0,0,,5,0,5,0.0,0.0,,18.0,,,0,0,0,5,stable,commercial,False
jasa maklon face highlighter,0,0,0,,9,0,9,0.0,0.0,,12.4,,,0,0,0,9,stable,commercial,False
jasa maklon face oil,0,0,0,,1,0,1,0.0,0.0,,18.0,,,0,0,0,1,stable,commercial,False
jasa maklon face primer,0,0,0,,11,0,11,0.0,0.0,,14.2,,,0,0,0,11,stable,commercial,False
jasa maklon face toner,0,0,0,,8,0,8,0.0,0.0,,11.1,,,0,0,0,8,stable,commercial,False
jasa maklon facial wash,0,0,0,,15,0,15,0.0,0.0,,17.7,,,0,0,0,15,stable,commercial,False
jasa maklon foot mask,0,0,0,,16,0,16,0.0,0.0,,17.0,,,0,0,0,16,stable,commercial,False
jasa maklon hair mask,0,0,0,,14,0,14,0.0,0.0,,19.6,,,0,0,0,14,stable,commercial,False
jasa maklon hair removal,0,0,0,,4,0,4,0.0,0.0,,20.0,,,0,0,0,4,stable,commercial,False
