folder,clicks_c90,impressions_c90,clicks_p90,impressions_p90,ctr_c90,ctr_p90,clicks_delta,clicks_growth_pct
/maklon-foot-care/,1.0,46.0,0.0,0.0,2.17,,1,
/jasa-maklon-kosmetik-bpom-panduan-lengkap/,1.0,111.0,0.0,194.0,0.9,0.0,1,
/foot-care/,1.0,153.0,3.0,152.0,0.65,1.97,-2,-66.66666666666667
/hair-treatment-ampoule-maklon-haircare-dreamlab/,1.0,53.0,0.0,93.0,1.89,0.0,1,
/inovasi-maklon-haircare-2026/,1.0,70.0,1.0,141.0,1.43,0.71,0,0.0
/maklon-facial-wash-gentle/,1.0,128.0,0.0,112.0,0.78,0.0,1,
/komunitas-beauty-genz/,1.0,21.0,0.0,1.0,4.76,0.0,1,
/maklon-pkrt/,1.0,12.0,0.0,0.0,8.33,,1,
/maklon-kosmetik-ibu-hamil/,1.0,74.0,1.0,180.0,1.35,0.56,0,0.0
/panduan-bisnis-produk-bayi/,1.0,61.0,0.0,0.0,1.64,,1,
/pabrik-kosmetik/,1.0,54.0,0.0,0.0,1.85,,1,
/panduan-persentase-manfaat-niacinamide-skincare/,1.0,366.0,0.0,33.0,0.27,0.0,1,
/maklon-skincare-jakarta-brand-klinik-2026/,1.0,61.0,1.0,100.0,1.64,1.0,0,0.0
/maklon-parfum/,1.0,40.0,1.0,29.0,2.5,3.45,0,0.0
/author/,1.0,156.0,0.0,116.0,0.64,0.0,1,
/berapa-biaya-membuat-brand-serum/,1.0,9.0,0.0,0.0,11.11,,1,
/cara-membuat-toner-dari-cuka-apel/,1.0,83.0,0.0,41.0,1.2,0.0,1,
/cara-membuat-deodorant-balm-custom/,1.0,53.0,0.0,14.0,1.89,0.0,1,
/maklon-body-wash-berkualitas-dan-bersertifikat-bpom/,1.0,72.0,1.0,130.0,1.39,0.77,0,0.0
/cara-personal-banding/,1.0,168.0,1.0,224.0,0.6,0.45,0,0.0
/contact-medsos/,1.0,11.0,0.0,0.0,9.09,,1,
/ads/,0.0,13.0,0.0,0.0,0.0,,0,
/bahan-aktif-untuk-mengatasi-jerawat/,0.0,0.0,0.0,34.0,,0.0,0,
/bahan-aktif-skincare-paling-dicari/,0.0,44.0,0.0,27.0,0.0,0.0,0,
/academy-beautypreneur/,0.0,0.0,0.0,6.0,,0.0,0,
/bahan-aktif-skincare-jerawat/,0.0,53.0,0.0,52.0,0.0,0.0,0,
/inspirasi-parfum-lokal-aroma-teh/,0.0,34.0,0.0,37.0,0.0,0.0,0,
/hero-ingredients-2025/,0.0,40.0,0.0,14.0,0.0,0.0,0,
/https-dreamlab-id-dreamlab-visit-ici-2026/,0.0,64.0,0.0,0.0,0.0,,0,
/ide-bisnis-gen-z/,0.0,1.0,0.0,0.0,0.0,,0,
/e-floating-buttons/,0.0,13.0,0.0,12.0,0.0,0.0,0,
/dreampreneur-beauty-academy-surabaya-2026/,0.0,0.0,1.0,5.0,,20.0,-1,-100.0
/bangun-brand-skincare-lebih-strategis-dreamlab/,0.0,7.0,0.0,0.0,0.0,,0,
/biaya-maklon-skincare/,0.0,29.0,0.0,0.0,0.0,,0,
/bisnis-kosmetik-dari-nol/,0.0,4.0,1.0,21.0,0.0,4.76,-1,-100.0
/biaya-membuat-brand-serum/,0.0,11.0,0.0,0.0,0.0,,0,
/bisnis-skincare-glow-glasskin-cystamine/,0.0,11.0,0.0,5.0,0.0,0.0,0,
/cara-ampuh-memutihkan-ketiak/,0.0,639.0,2.0,904.0,0.0,0.22,-2,-100.0
/cara-bisnis-skincare-dari-nol/,0.0,0.0,0.0,4.0,,0.0,0,
/cara-bangun-brand-deodoran-sendiri/,0.0,21.0,6.0,56.0,0.0,10.71,-6,-100.0
/cara-branding-bisnis-kosmetik/,0.0,62.0,0.0,111.0,0.0,0.0,0,
/cara-membuat-masker-wajah-organik/,0.0,58.0,1.0,190.0,0.0,0.53,-1,-100.0
/cara-menghilangkan-ketombe/,0.0,4.0,0.0,7.0,0.0,0.0,0,
/cara-membuat-lulur-ampas-kopi/,0.0,256.0,0.0,192.0,0.0,0.0,0,
/contact-form-dreamlab/,0.0,0.0,0.0,4.0,,0.0,0,
/cms_block_cat/,0.0,0.0,0.0,3.0,,0.0,0,
/maklon-haircare/,0.0,11.0,0.0,5.0,0.0,0.0,0,
/maklon-footcare-dreamlab/,0.0,27.0,0.0,42.0,0.0,0.0,0,
/maklon-decorative/,0.0,74.0,0.0,0.0,0.0,,0,
/maklon-face-mist/,0.0,13.0,0.0,68.0,0.0,0.0,0,
/maklon-bodycare-ads/,0.0,1.0,0.0,0.0,0.0,,0,
/kuasai-pasar-skincare-2026-biotech/,0.0,13.0,0.0,43.0,0.0,0.0,0,
/jasa-maklon-sabun-mandi-batang/,0.0,0.0,3.0,257.0,,1.17,-3,-100.0
/dreamlab-kolaborasi-di-klifm-bongkar-strategi-bisnis-kosmetik/,0.0,5.0,0.0,0.0,0.0,,0,
/glycerin-bahan-skincare-yang-naik-daun-dan-cocok-untuk-semua-jenis-kulit/,0.0,146.0,0.0,330.0,0.0,0.0,0,
