bucket,clicks_c90,impressions_c90,clicks_p90,impressions_p90,ctr_c90,clicks_delta,growth_pct
/blog-articles/ (root level),791,93732,451.0,63139.0,0.84,340,75.3880266075388
/instagram-cluster/,699,18057,1044.0,26710.0,3.87,-345,-33.04597701149425
/service-landing/ (maklon landing),499,19086,295.0,17274.0,2.61,204,69.15254237288136
Homepage,486,6955,281.0,5469.0,6.99,205,72.95373665480427
/company/ (corporate),99,5076,54.0,3612.0,1.95,45,83.33333333333333
/produk/ (product pages),75,3532,0.0,0.0,2.12,75,
/service-category/ (product category),52,2014,70.0,3056.0,2.58,-18,-25.71428571428571
/category/ (blog categories),19,1592,9.0,1720.0,1.19,10,111.11111111111111
/news-blog/ (blog),5,450,2.0,184.0,1.11,3,150.0
