metric,clicks,impressions,ctr,avg_position
overall_16m,8885,360457,2.46,8.8
last_90d,2760,131656,2.1,8.5
prev_90d,2160,103887,2.08,7.5
last_30d,837,45857,1.83,8.5
prev_30d,947,44860,2.11,8.9
