query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
perbedaan affiliate dan kol,0,0,0,,22,41,-19,0.0,0.0,,11.1,10.4,0.7,0,0,0,63,stable,comparison,False
perbedaan aha body serum dan aha body booster,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
perbedaan alkohol food grade dan non food grade,0,0,0,,0,1,-1,0.0,0.0,,,8.0,,0,0,0,1,stable,comparison,False
perbedaan booster dan dosting,0,0,0,,11,0,11,0.0,0.0,,1.0,,,0,0,0,11,stable,comparison,False
perbedaan cream dan gel,0,0,0,,29,4,25,0.0,0.0,,10.4,9.0,1.4,0,0,0,57,stable,comparison,False
perbedaan cream dan moisturizer,0,0,0,,18,3,15,0.0,0.0,,15.2,16.7,-1.5,0,0,0,25,stable,comparison,False
perbedaan dosting dan booster,0,0,0,,14,0,14,0.0,0.0,,1.1,,,0,0,0,14,stable,comparison,False
perbedaan eau de parfum eau de toilette dan eau de cologne,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
perbedaan eau de toilette,0,0,0,,3,0,3,0.0,0.0,,27.0,,,0,0,0,4,stable,comparison,False
perbedaan eau de toilette dan eau de parfum,0,0,0,,1,0,1,0.0,0.0,,44.0,,,0,0,0,3,stable,comparison,False
perbedaan edc edt edp,0,0,0,,4,0,4,0.0,0.0,,13.0,,,0,0,0,4,stable,comparison,False
perbedaan edp,0,0,0,,2,0,2,0.0,0.0,,12.5,,,0,0,0,3,stable,comparison,False
perbedaan edp dan edt,0,0,0,,62,0,62,0.0,0.0,,13.6,,,0,0,0,256,stable,comparison,False
perbedaan edp dan edt pada parfum,0,0,0,,2,0,2,0.0,0.0,,14.0,,,0,0,0,3,stable,comparison,False
perbedaan edp dan edt parfum,0,0,0,,2,0,2,0.0,0.0,,13.0,,,0,0,0,6,stable,comparison,False
perbedaan edp dan parfum,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,comparison,False
perbedaan edp edt,0,0,0,,142,0,142,0.0,0.0,,10.2,,,0,0,0,244,stable,comparison,False
perbedaan edp edt edc,0,0,0,,16,0,16,0.0,0.0,,10.8,,,0,0,0,47,stable,comparison,False
perbedaan edp edt edc parfum,0,0,0,,2,0,2,0.0,0.0,,11.5,,,0,0,0,5,stable,comparison,False
perbedaan edp edt parfum,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
"perbedaan edp, edt edc parfum",0,0,0,,24,0,24,0.0,0.0,,11.8,,,0,0,0,25,stable,comparison,False
"perbedaan edp, edt, edc parfum",0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,comparison,False
perbedaan edt dan edp,0,0,0,,174,0,174,0.0,0.0,,11.6,,,0,0,0,458,stable,comparison,False
perbedaan edt dan edp pada parfum,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
perbedaan edt dan edp parfum,0,0,0,,1,3,-2,0.0,0.0,,40.0,1.0,39.0,0,0,0,47,stable,comparison,False
perbedaan edt edp,0,0,0,,18,0,18,0.0,0.0,,17.1,,,0,0,0,25,stable,comparison,False
perbedaan etanol dan alkohol untuk parfum,0,0,0,,1,0,1,0.0,0.0,,24.0,,,0,0,0,1,stable,comparison,False
perbedaan evalen gel dan cream,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
perbedaan gel dan cream,0,0,0,,79,30,49,0.66,0.0,,10.4,16.5,-6.1,0,0,1,151,stable,comparison,False
