query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
fast beauty indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
fastlab surabaya,0,0,0,,1,0,1,0.0,0.0,,43.0,,,0,0,0,1,stable,local,False
footlab jakarta,0,0,0,,2,0,2,0.0,0.0,,64.0,,,0,0,0,2,stable,local,False
gambar aksara kosmetik indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
grafik pertumbuhan industri kosmetik di indonesia,0,1,-1,-100.0,10,9,1,6.45,11.11,-4.66,9.3,7.1,2.2,0,0,2,31,stable,local,False
grosir botol parfum di jakarta,0,0,0,,0,2,-2,0.0,0.0,,,36.0,,0,0,0,2,stable,local,False
grosir botol parfum jakarta,0,0,0,,0,4,-4,0.0,0.0,,,38.5,,0,0,0,9,stable,local,False
hair growth products indonesia 2026,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,18,stable,local,False
haizhen cosmetics indonesia foto,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,local,False
haleyora powerindo jakarta,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,local,False
happy lab indonesia,0,0,0,,1,0,1,0.0,0.0,,49.0,,,0,0,0,1,stable,local,False
hexindo semarang,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
ici surabaya 2026,0,0,0,,2,0,2,0.0,0.0,,7.5,,,0,0,0,2,stable,local,False
iklan kosmetik indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,32,stable,local,False
iklan produk kecantikan indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,local,False
indonesian beauty standard,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,local,False
industri kecantikan di indonesia,0,0,0,,2,0,2,0.0,0.0,,6.0,,,0,0,0,3,stable,local,False
industri kecantikan indonesia,0,0,0,,4,0,4,0.0,0.0,,5.2,,,0,0,0,4,stable,local,False
industri kosmetik di indonesia,0,0,0,,20,10,10,0.0,0.0,,22.5,33.8,-11.3,0,0,0,51,stable,local,False
industri kosmetik di surabaya,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
industri kosmetik indonesia,0,0,0,,1,1,0,0.0,0.0,,20.0,26.0,-6.0,0,0,0,7,stable,local,False
industri kosmetik indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,29,stable,local,False
industri skincare di indonesia,0,0,0,,1,3,-2,0.0,0.0,,11.0,13.3,-2.3,0,0,0,7,stable,local,False
"intext:""this is your first post. edit or delete it"" ""dengan"" ""surabaya"" site:*.id",0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
jawab dengan rinci,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
kantor morlab indonesia,0,0,0,,0,3,-3,0.0,0.0,,,3.0,,0,0,0,8,stable,local,False
kantor morlab indonesia dimana,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
korean skincare bali,0,0,0,,1,0,1,0.0,0.0,,42.0,,,0,0,0,1,stable,local,False
kosme surabaya,0,0,0,,1,0,1,0.0,0.0,,23.0,,,0,0,0,1,stable,local,False
kosmetik bandung,0,0,0,,1,0,1,0.0,0.0,,29.0,,,0,0,0,1,stable,local,False
kosmetik indonesia,0,0,0,,2,0,2,0.0,0.0,,42.0,,,0,0,0,2,stable,local,False
kosmetik jawa timur,0,0,0,,14,31,-17,0.0,0.0,,21.8,26.8,-5.0,0,0,0,47,stable,local,False
kosmetik lokal indonesia tren,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,27,stable,local,False
kosmetik organik indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,local,False
kosmetik surabaya,0,0,0,,3,2,1,0.0,0.0,,8.7,63.0,-54.3,0,0,0,5,stable,local,False
kosmetik terbaik di indonesia,0,0,0,,2,0,2,0.0,0.0,,17.5,,,0,0,0,2,stable,local,False
kosmetika global indonesia,0,0,0,,0,2,-2,0.0,0.0,,,1.5,,0,0,0,2,stable,local,False
makloon parfum bandung,0,0,0,,2,0,2,0.0,0.0,,11.0,,,0,0,0,2,stable,local,False
manufaktur di surabaya,0,0,0,,2,0,2,0.0,0.0,,10.5,,,0,0,0,2,stable,local,False
manufaktur surabaya,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,local,False
masumi beauty indonesia,0,0,0,,2,0,2,0.0,0.0,,27.0,,,0,0,0,2,stable,local,False
medikids makassar,0,0,0,,1,0,1,0.0,0.0,,5.0,,,0,0,0,1,stable,local,False
merek perawatan tubuh terbaik 2026 indonesia,0,0,0,,2,0,2,0.0,0.0,,6.0,,,0,0,0,2,stable,local,False
merek shampo di indonesia,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,local,False
merk kosmetik terbaik di indonesia,0,0,0,,1,0,1,0.0,0.0,,78.0,,,0,0,0,1,stable,local,False
